company,year,revenue,net_income,total_assets,total_equity,operating_expenses,employees
TechCorp,2023,5000000,750000,3000000,2000000,3500000,150
TechCorp,2022,4500000,620000,2800000,1800000,3200000,140
TechCorp,2021,4000000,500000,2500000,1600000,2900000,130
FinanceHub,2023,8000000,1200000,6000000,3500000,5500000,200
FinanceHub,2022,7200000,1000000,5500000,3200000,5000000,180
FinanceHub,2021,6500000,850000,5000000,2800000,4500000,160
RetailMax,2023,12000000,600000,8000000,3000000,10000000,500
RetailMax,2022,11000000,500000,7500000,2800000,9200000,480
RetailMax,2021,10000000,400000,7000000,2500000,8500000,450
HealthPlus,2023,3000000,450000,2000000,1200000,2100000,80
HealthPlus,2022,2700000,380000,1800000,1000000,1900000,70
HealthPlus,2021,2500000,300000,1600000,900000,1750000,65
